,Teff,logg,FeH,bpDered,rpDered,gDered,e_bv,NUVDered,bp_rp_dered,colorColorY
0,5250.0,2.0,-2.09,9.322605267286425,8.444116651918554,8.977593854140673,0.05960806,13.7636376456,0.8784886153678713,-1.0770133542911644
1,19883.9609375,3.856600046157837,-3.06,8.866393451871474,7.847338612029548,8.451914711916203,0.1931025,13.6876579,1.0190548398419264,-1.8627175589725224
2,5250.0,3.0,-3.71,14.191398407074864,13.307462417289758,13.841486862455397,0.01769849,17.8543929324,0.8839359897851065,-1.7782730012031918
3,5456.29052734375,2.723599910736084,-3.35,14.298530329701615,13.276527109298664,13.87731169459992,0.02713684,19.0736092784,1.0220032204029508,-1.5148036542191807
4,4750.0,2.5,-2.90,13.44602249516424,12.291535471306467,12.953989366369475,0.03886499,19.475667472399998,1.1544870238577722,-1.0775051826755213
5,4750.0,1.5,-4.17,12.117700237690684,11.01749194479379,11.656388069426006,0.01172912,17.5006111712,1.1002082928968946,-1.3361937326298161
6,4750.0,1.0,-3.21,13.601747951017357,12.566360196231825,13.174669001443636,0.103335,18.7371346,1.035387754785532,-1.423664306105957
7,5000.0,3.5,-2.83,13.399386720395677,12.355162158768477,12.966826010561944,0.03564841,18.589635511599997,1.0442245616271997,-1.2536231389768009
8,5250.0,2.5,-3.19,12.666128588477331,11.775101987702437,12.312961580207235,0.06362472,16.5332770272,0.8910266007748948,-1.7340828778368165
9,6096.11328125,2.722899913787842,-3.05,13.485704365508035,12.348229164717653,13.005174188715438,0.1015465,18.76157334,1.137475200790382,-1.88427346513748
10,4750.0,1.0,-3.30,12.358174300229063,11.385533469883036,11.964031407419641,0.04111147,16.818012957199997,0.9726408303460268,-1.5720744400491764
11,6028.708984375,2.323899984359741,-2.85,6.316340823015042,5.132691821170366,5.813020044046386,0.02542847,13.2756678772,1.1836490018446764,-0.293010634790396
12,4500.0,1.0,-2.60,8.985574638580083,7.856743837061831,8.51087344523444,0.1225308,15.138287008,1.1288308015182515,-1.0078172018686349
13,6042.21435546875,2.497299909591675,-2.48,8.60569721656367,7.580457065139614,8.186828852658572,0.02154496,13.9725344896,1.0252401514240557,-0.9324134946563634
